station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,price
Métro Mont-Royal (Berri / Mont-Royal),45.52501371261418,-73.58220934867859,39,16,457.3636363636364,331.24242424242425,8.400606060606062,1.878787878787879
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,38,17,348.2368421052632,297.44736842105266,8.13657894736842,2.3157894736842106
Parc Baldwin (Fullum / Sherbrooke),45.53407048533949,-73.56265068054199,38,18,799.6071428571429,34.857142857142854,8.757857142857144,1.9285714285714286
Milton / University,45.50651983995355,-73.57640504837036,38,19,698.4324324324324,314.3243243243243,8.238378378378378,2.2972972972972974
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,38,20,823.1875,4.875,7.68125,2.125
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,37,21,637.0769230769231,82.38461538461539,8.444871794871796,1.8461538461538463
Berri / Cherrier,45.519266156911335,-73.5692971944809,37,22,403.94117647058823,323.1470588235294,8.248529411764705,2.1470588235294117
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),45.5148664330228,-73.58475860237377,36,23,591.0833333333334,494.125,8.502916666666668,1.7916666666666667
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,36,24,497.35897435897436,309.2307692307692,8.155641025641026,2.3846153846153846
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,36,25,274.18918918918916,267.4864864864865,8.177567567567568,2.72972972972973
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,35,26,364.5777777777778,272.24444444444447,7.901111111111112,2.311111111111111
University / des Pins,45.50817464963893,-73.58002064942411,35,27,765.5625,556.8125,8.314375,2.4375
Dorion / Ontario,45.526991277453526,-73.55821162462234,35,28,597.7777777777778,110.85185185185185,8.16851851851852,2.2222222222222223
de la Montagne / Ste-Catherine,45.49774064151583,-73.57484936714172,35,29,249.02380952380952,284.45238095238096,8.04595238095238,2.3095238095238093
Larivière / de Lorimier,45.5291345371163,-73.55923354625702,35,30,674.44,54.48,7.976,1.84
de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,34,31,410.1333333333333,45.03333333333333,7.75,1.8
Parc Jean-Drapeau (Chemin Macdonald),45.51252079509179,-73.53200376033783,34,32,546.9090909090909,9.909090909090908,6.421363636363637,2.090909090909091
Cypress / Peel,45.49933033434456,-73.57175691987322,34,33,274.39473684210526,288.7368421052632,8.077105263157895,2.210526315789474
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,34,34,401.2352941176471,208.0,7.816470588235294,2.1176470588235294
du Mont-Royal / Clark,45.51941,-73.58685,34,35,374.55882352941177,230.47058823529412,8.115294117647059,1.9411764705882353
Mackay / de Maisonneuve,45.49682986230046,-73.57913017272949,34,36,281.04761904761904,243.1904761904762,8.018809523809525,2.2142857142857144
Léa-Roback / Sir-Georges-Etienne-Cartier,45.471703687608354,-73.58268946409225,34,37,714.4166666666666,97.44444444444444,8.158055555555556,2.1666666666666665
Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,34,38,540.952380952381,1.7142857142857142,6.090476190476191,1.9523809523809523
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,33,39,397.1818181818182,192.54545454545453,8.023939393939395,2.242424242424242
Parc de Dieppe,45.501863463435576,-73.5439610481262,33,40,913.25,436.1111111111111,8.409166666666668,2.5555555555555554
Viger / Chenneville,45.50531166520915,-73.56089115142822,33,41,410.0,389.5135135135135,8.421891891891892,2.5405405405405403
Prince-Arthur / du Parc,45.51044465753362,-73.5755842924118,33,42,554.972972972973,347.97297297297297,8.085945945945946,2.2162162162162162
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,33,43,461.0,164.5142857142857,8.556000000000001,1.9428571428571428
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),45.50398168549117,-73.62283945083618,33,44,784.969696969697,39.15151515151515,7.852727272727273,1.8484848484848484
Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,32,45,457.76190476190476,399.35714285714283,8.207380952380953,2.238095238095238
