station_name,latitude,longitude,total_bikes,station,distance,rating,popularity,price
Tupper / du Fort,45.49122961531575,-73.58078241348267,15,623,687.8352941176471,8.028235294117646,0.9674588235294117,1.5875
du Canal / McLaughlin,45.42969214118378,-73.6694884300232,15,624,634.5,7.58,0.9032,1.3
Duke / Nazareth,45.49572236030835,-73.55461344122887,15,625,626.876404494382,8.19156626506024,0.9543820224719101,1.8157894736842106
Place Longueuil,45.52841043752244,-73.51716578006744,15,626,645.92,7.01,0.87568,1.1666666666666667
Lincoln / du Fort,45.4930266623113,-73.58389592183812,15,627,653.7654320987655,7.980246913580246,0.9644320987654321,1.6578947368421053
Jean-Paul-Vincent / Adoncour,45.5646764291021,-73.47957750896057,15,628,751.0,6.5,0.8812857142857142,1.0
Parc Kirkland (des Érables / Boyer),45.44606092178209,-73.65079946815968,15,629,657.28,7.4071428571428575,0.94144,1.0416666666666667
du Fort Saint-Louis / de la Perrière,45.613330089384625,-73.45154017210007,15,630,499.0,7.65,0.8852631578947369,1.3333333333333333
Casgrain / Maguire,45.52621764749851,-73.5957657695144,15,631,614.4678899082569,8.462385321100918,0.9365779816513762,1.45
de Laprairie / Centre,45.48059248038378,-73.56577813625336,15,632,693.7567567567568,8.244444444444444,0.9372972972972973,1.7777777777777777
Ottawa / William,45.48972725318433,-73.56406286358833,15,633,530.28,7.943396226415095,0.9540666666666666,1.6615384615384616
St-Antoine / 19e avenue,45.43993803436114,-73.68146234754022,15,634,724.0322580645161,7.352631578947368,0.9539032258064516,1.1785714285714286
Parc Hébert (Colbert / Provencher),45.57237805962001,-73.59370462596415,15,635,785.625,6.520833333333333,0.96246875,1.4333333333333333
Pratt / Bates,45.51694782364431,-73.62631559371948,15,636,710.1935483870968,6.966666666666667,0.9385483870967741,1.4516129032258065
St-Germain / Hochelaga,45.543652466151,-73.5534825682771,15,637,723.1764705882352,7.18157894736842,0.9421960784313725,1.3695652173913044
Grenet / Poirier,45.51871924623225,-73.69875401258469,15,638,400.9310344827586,6.7555555555555555,0.9474482758620689,1.5238095238095237
26e avenue / Beaubien,45.56485589064712,-73.5774926841259,15,639,669.0909090909091,7.3,0.9366818181818182,1.65
McCulloch / de la Côte Ste-Catherine,45.51577505385328,-73.60060930252075,15,640,759.8452380952381,8.138461538461538,0.929202380952381,1.6049382716049383
Parc Garibaldi (Liénart / Bélanger),45.586476480180046,-73.570396900177,15,641,645.2758620689655,6.704761904761905,0.9417586206896552,1.5714285714285714
Ste-Catherine / St-Clément,45.55671730558936,-73.53024959564209,15,642,1414.7666666666667,7.821052631578947,0.9161666666666667,1.5833333333333333
Gilford / des Érables,45.53728040418993,-73.57534691691399,15,643,725.8412698412699,7.754166666666666,0.933936507936508,1.4833333333333334
St-Urbain / Beaubien,45.52954744851231,-73.61071854829788,15,644,663.0673076923077,8.258415841584158,0.9394230769230769,1.7439024390243902
Mozart / Waverly,45.5315236502754,-73.61701235175133,15,645,560.340206185567,8.219565217391304,0.9396494845360824,1.525
William / St-Henri,45.49891911390352,-73.55725407600403,15,646,543.6404494382023,8.42808988764045,0.9585617977528089,1.85
Hillside / Ste-Catherine,45.48282602624293,-73.59084337949753,15,647,772.2142857142857,7.264864864864865,0.9502142857142857,1.5490196078431373
1ère avenue / Rosemont,45.54779995287998,-73.58486741781235,15,648,696.015625,7.35625,0.933203125,1.532258064516129
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,15,649,685.070796460177,8.54070796460177,0.9384424778761061,1.4476190476190476
Park Row O / Sherbrooke,45.46072936353252,-73.63407254219055,15,650,647.8048780487804,7.2875,0.9404390243902438,1.2564102564102564
Louis-Hébert / St-Zotique,45.55001,-73.59576,15,651,633.75,7.613636363636363,0.9248055555555555,1.6176470588235294
Clark / St-Viateur,45.5251943015533,-73.59935637563467,15,652,510.7669902912621,8.307766990291263,0.935009708737864,1.4742268041237114
Parc St-Henri (Laporte / Guay),45.48013378575666,-73.58590811491013,15,653,718.7205882352941,8.123636363636363,0.9396911764705882,1.78125
Parc Pratt (Dunlop / Van Horne),45.51491895406187,-73.61968517303467,15,654,809.4634146341464,7.385714285714286,0.9321463414634147,1.5853658536585367
Monk / de Biencourt,45.458663192410306,-73.59602272510529,15,655,594.8421052631579,7.1375,0.9595263157894738,1.0
Hamilton / Jolicoeur,45.45670282849069,-73.59764268636354,15,656,527.7666666666667,7.091666666666666,0.9327000000000001,1.2307692307692308
Bercy / Rachel,45.53840340979245,-73.56196403503418,15,657,648.1463414634146,7.5576923076923075,0.9253170731707318,1.263157894736842
Parc Howard (de l'Épée / de Liège),45.53318929909303,-73.64188581705093,15,658,632.7619047619048,6.523076923076923,0.9287619047619048,1.6470588235294117
Victoria Hall,45.48129146961133,-73.6003303527832,15,659,712.4571428571429,7.065,0.9255142857142857,1.3636363636363635
Leman / de Chateaubriand,45.54721107501036,-73.63105237483978,15,660,648.975,7.543333333333334,0.933,1.7027027027027026
Gauthier / Parthenais,45.53292625574653,-73.56377989053726,15,661,830.0731707317074,7.571875,0.931390243902439,1.4390243902439024
Ann / Wellington,45.49449368327543,-73.55676054954529,15,662,3319.8275862068967,8.145977011494253,0.9520689655172414,1.9610389610389611
Parc Sauvé (Balzac / de Bayonne),45.59836857189897,-73.63610029220581,15,663,600.3846153846154,7.5,0.8923076923076922,1.6363636363636365
Marquette / Fleury,45.56735205736566,-73.65378744900227,15,664,486.2,7.6000000000000005,0.9154800000000001,1.3636363636363635
Marie-Anne / St-Hubert,45.5246829812827,-73.5788968205452,15,665,557.6902654867257,8.568141592920355,0.9436725663716815,1.5377358490566038
Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,15,666,740.0689655172414,7.936842105263159,0.9308275862068965,1.7307692307692308
Egan / Laurendeau,45.45290792768395,-73.58918591405198,15,667,586.2380952380952,6.972727272727273,0.9279523809523811,1.2222222222222223
Gare St-Michel / Montréal-Nord (Pie-IX / 56e),45.583197821913785,-73.62978704273701,15,668,578.6666666666666,6.275,0.9215333333333333,1.2727272727272727
Robin / 15e rue,45.559495502858624,-73.6989176273346,15,669,652.0714285714286,7.171428571428572,0.9309285714285714,1.1428571428571428
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,15,670,631.1153846153846,8.091025641025642,0.967525641025641,1.7761194029850746
de Gaspé / Villeray,45.53888723230076,-73.62390697002411,15,672,620.8904109589041,8.238805970149254,0.9373561643835617,1.5692307692307692
Parc Ottawa (de Belleville / Fleury),45.58116,-73.6412434,15,673,678.4117647058823,6.354545454545455,0.9409411764705883,1.1333333333333333
St-Jean-Baptiste / René-Lévesque,45.64141535746634,-73.4999567270279,15,674,360.9230769230769,6.08,0.926923076923077,1.0833333333333333
Mairie d'arrondissement LaSalle (Dupras / Jeannette),45.429166968311485,-73.66280972957611,15,675,791.4,7.1,0.8944000000000001,1.4
du Souvenir / Chomedey,45.55188644388879,-73.74444007873535,15,676,767.9583333333334,6.553333333333333,0.9204583333333334,1.4090909090909092
4e avenue / de Verdun,45.4568844514464,-73.57260704040527,15,677,654.44,7.19655172413793,0.95124,1.4222222222222223
Parc Maurice-Bélanger (Hébert / Denommée),45.5877138098252,-73.63171823322773,15,678,358.3333333333333,6.275,0.9278666666666666,1.3333333333333333
St-Jacques / Vinet,45.485328993998365,-73.57692271471024,15,679,675.6626506024096,7.847887323943662,0.9550240963855421,1.625
5e avenue / Bannantyne,45.456365,-73.57614,15,681,680.7407407407408,7.859999999999999,0.9421481481481481,1.48
Argyle / Bannantyne,45.453318765468914,-73.5767751932144,15,682,702.2,7.384615384615385,0.9338666666666666,1.4615384615384615
BAnQ (Berri),45.51601387670667,-73.56291957199574,15,683,603.1547619047619,8.157142857142858,0.965547619047619,1.837837837837838
de Grosbois / Duchesneau,45.611230741550536,-73.5312415660519,15,684,641.2173913043479,6.933333333333334,0.9326956521739131,1.1904761904761905
Bibliothèque de Verdun (Brown / Bannantyne),45.44826204820947,-73.57785612344742,15,685,678.7142857142857,6.840000000000001,0.9444285714285714,1.3846153846153846
Parc Van Horne (de la Peltrie / de Westbury),45.490494421832885,-73.63852232694626,14,686,690.1428571428571,6.906666666666666,0.9730714285714285,1.4166666666666667
